City,Sum of number of in flights
AA,105762
AQ,1662
AS,26667
B6,1707
CO,26565
DH,22176
DL,107851
EV,27947
F9,175
FL,6075
HA,268
HP,25402
MQ,96365
NW,59210
OH,24986
OO,25924
TW,11001
TZ,2080
UA,102066
US,85866
WN,65549
XE,21483
