Flight Number,Average Display
1,5.471839452510866
2,5.249534345543828
3,9.94186046511628
4,5.527135585944686
5,7.503314886855515
6,8.071629608781311
7,8.831454453950679
8,7.371142959147243
9,7.164010019355573
10,6.268457184150307
11,9.178977081793132
12,6.834232889297198
14,7.214770996837297
15,10.103922487888733
16,6.726100547017452
17,6.842753672239897
18,6.520679512575785
19,8.487877355304922
20,8.316862199244383
21,8.792229909526343
22,8.248179025888547
23,9.065245759025663
24,6.236891063184731
25,7.385395070260309
26,9.127928257686676
27,9.871750321750321
28,9.867379451957799
29,9.650335900376863
30,7.2045287380477046
31,8.49036659029369
32,9.230955871202548
33,8.175428272525174
34,6.4666229890077895
35,9.149301108202929
36,9.230964858199753
37,8.262746768924869
38,9.265029974307737
39,9.361494828161495
40,10.04302536231884
41,9.171425158284555
42,10.358202322093216
43,11.706235308672522
44,9.752158234072779
45,10.044428007889547
46,11.802826043539046
47,13.730112700191128
48,9.117829021372328
49,13.147739409042364
50,9.945957515115843
51,11.20642141350211
52,9.573179746211654
53,11.734287054409005
54,10.259797724399494
55,11.252655114589157
56,9.336480159643871
57,10.809965846396357
58,10.42012695824355
59,11.628900650567868
60,6.370995423340961
61,12.472875816993463
62,9.643970431065194
63,9.391732729331823
64,8.819257062249068
65,10.802566761731915
66,9.607817887259586
67,10.205860697982624
68,6.305846545866364
69,11.658543476725296
70,10.552827121792639
71,7.64544972342199
72,3.779480904231339
73,5.798798938596899
74,6.519724628712871
75,9.883648334184686
76,8.514607893388007
77,12.328306163368495
78,6.119625372498936
79,12.53685042481723
80,7.952157197778727
81,7.30360196942213
82,8.550162430728072
83,9.43495089957709
84,6.42352853189739
85,11.539020389032107
86,8.766241021548284
87,7.971018492961634
88,8.686125
89,6.537331701346389
90,5.283169732821946
91,9.65813553491572
92,7.775543555492398
93,8.921095890410959
94,6.687097812097812
95,7.420113165723619
96,7.178789592760181
97,9.188666754931814
98,8.70434597961495
99,12.307428275370766
100,6.929295234617491
101,7.003858626493165
102,4.842352013319896
103,6.935192953020135
104,7.440080803279662
105,10.91446540880503
106,10.06962940022711
107,8.107872611464968
108,6.000633640552995
109,9.060268919562112
110,8.636289088125956
111,7.774968982630273
112,8.206554573952694
113,8.890521675238794
114,4.913616398243045
115,8.128594444173217
116,6.516892068299305
117,6.12636482019433
118,7.001760682603101
119,8.662286279496962
120,6.524775679657158
121,4.579273855135924
122,5.24785830053253
123,5.526907463308005
124,5.2273943907831955
125,6.7475749083854275
126,7.395754687790086
127,9.255499153976311
128,8.763501683501683
129,9.964172949287969
130,6.444906563354603
131,9.919254658385093
132,4.878571428571429
133,7.813015489841078
134,10.867748402455833
135,5.373559572893541
136,7.372480099245322
137,8.528633004926109
138,7.421392545208513
139,7.9425571753377024
140,7.253189401373896
141,7.109577289034472
142,8.497462549678998
143,7.207014868471216
144,6.780788552291064
145,8.455380510083646
146,9.024139984425817
147,7.287229674240351
148,9.00913903945544
149,6.746202494237248
150,5.272549902446346
151,8.133997612745862
152,7.967625899280575
153,13.160849207193785
154,7.790911954638526
155,6.846102907092246
156,5.559409204800211
157,8.22035200983783
158,6.262337269149258
159,9.667190775681341
160,8.280627831033392
161,13.401321020121093
162,4.370625222446316
163,8.565707034657784
164,8.757752623511378
